id,title,year,credit,country,state,city,latitude,longitude
2017709384,"Geronimo's Castle Bar, Bowie, Arizona",1979.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,Arizona,Bowie,,
2017709762,,1988.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,Wisconsin,,,
2017710358,,1979.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,South Carolina,,,
2017703247,"Oakville Hardware, Route 12, Oakville, Washington",1987.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,Washington ,Oakville,,
2017705066,"Gorilla, Jolly Golf, Route 441, Gatlinburg, Tennessee",1984.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,Tennessee,Gatlinburg,35.71453,-83.51189
2017710247,"Rockwood Motel office wall, Klamath Falls, Oregon",1987.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,Oregon,Klamath Falls,42.22487,-121.78167
2017707061,"Commercial building, Eureka, California",1991.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,California,Eureka,40.80207,-124.16367
2017702410,"Wall Drug final billboard, Wall, South Dakota",1987.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,South Dakota,Wall,43.99249,-102.24155
2017702441,"Skyway Auto Theatre sign, horizontal view, Route 20, Ashtabula, Ohio",1977.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,Ohio,Ashtabula,41.86505,-80.78981
2017711320,"Ponte Vedra Lodge, Ponte Vedra Beach, Florida",1990.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,Florida,Ponte Vedra Beach,30.23969,-81.38564
2017704532,"Rebel Yell Raceway, dinosaur statue, Route 441, Pigeon Forge, Tennessee",1992.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,Tennessee,Pigeon Forge,35.78842,-83.55433
2017705663,"Caveman profile, Dinosaur World, Eureka Springs, Arkansas",1994.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,Arkansas,Eureka Springs,36.40118,-93.73797
2017712215,"Boardwalk A.M., Wildwood, New Jersey",1978.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,New Jersey,Wildwood,38.99178,-74.81489
2017711329,"Casa Marina Hotel, Jacksonville Beach, Florida",1990.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,Florida,Jacksonville Beach,30.29469,-81.39314
2017708593,"Parrot Jungle, Miami, Florida",1990.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,Florida,Miami,25.77427,-80.19366
2017705516,"Boxes hole, Peter Pan mini golf, Barton Springs Road, Austin, Texas",1983.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,Texas,Austin,30.26715,-97.74306
2017702808,"Museum gas station, Route 20, McNary, Texas",1979.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,Texas,McNary,,
2017712132,"Playland, Ocean City, New Jersey",1978.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,New Jersey,Ocean City,39.27762,-74.5746
2017713475,"Chestnut Lodge, Oquaga Lake, Deposit, New York",1987.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,New York ,Deposit,,
2017707680,"Gas n' Go, Ashtabula, Ohio",1980.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,Ohio,Ashtabula,41.86505,-80.78981
2017713476,"Chestnut Lodge, Oquaga Lake, Deposit, New York",1987.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,New York ,Deposit,,
